"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","1","SU01","00201908SU-00014",1,1,"15-AUG-2019 12:34:58","15-AUG-2019 12:35:02","1"," E02B0040002A32D",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00014",1,10,"15-AUG-2019 12:35:14","15-AUG-2019 12:35:28","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00014",1,20,"15-AUG-2019 12:36:09","15-AUG-2019 12:36:25","","",204,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00014",1,30,"15-AUG-2019 12:37:21","15-AUG-2019 12:37:38","","",660,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00014",1,40,"15-AUG-2019 12:37:51","15-AUG-2019 12:38:06","","",660,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00014",1,50,"15-AUG-2019 12:38:20","15-AUG-2019 12:38:31","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00014",1,60,"15-AUG-2019 12:38:58","15-AUG-2019 12:39:08","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00014",1,70,"15-AUG-2019 12:40:18","15-AUG-2019 12:40:28","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00015",1,1,"15-AUG-2019 12:36:50","15-AUG-2019 12:36:54","1"," E02B0040002A309",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00015",1,10,"15-AUG-2019 12:37:06","15-AUG-2019 12:37:20","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00015",1,20,"15-AUG-2019 12:37:28","15-AUG-2019 12:37:44","","",203,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00015",1,30,"15-AUG-2019 12:38:30","15-AUG-2019 12:38:47","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00015",1,40,"15-AUG-2019 12:38:57","15-AUG-2019 12:39:13","","",661,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00015",1,50,"15-AUG-2019 12:39:28","15-AUG-2019 12:39:39","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00015",1,60,"15-AUG-2019 12:40:05","15-AUG-2019 12:40:14","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00015",1,70,"15-AUG-2019 12:41:35","15-AUG-2019 12:41:45","","",964,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00016",1,1,"15-AUG-2019 12:38:06","15-AUG-2019 12:38:10","1"," E02B0040002A2F1",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00016",1,10,"15-AUG-2019 12:38:20","15-AUG-2019 12:38:34","","",0,205,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
